Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_964028595.1	ilFalLace1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Falcaria lacertinaria					54648		GCF_964028595.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964026915.1	idEriAene1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Eristalinus aeneus					54613		GCF_964026915.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_023559125.1	ASM2355912v1	Wolbachia endosymbiont of Ostrinia furnacalis		wFur					GCF_023559125.1-RS_2025_01_08	Complete Genome	2022-05-26		1
GCF_023559145.1	ASM2355914v1	Wolbachia endosymbiont of Ostrinia scapulalis		wSca					GCF_023559145.1-RS_2025_01_08	Complete Genome	2022-05-26		1
GCF_947251875.1	ilLycPhla1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Lycaena phlaeas					26642		GCF_947251875.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_026015925.1	ASM2601592v1	Wolbachia endosymbiont of Drosophila pseudotakahashii					Smith		GCF_026015925.1-RS_2025_01_08	Complete Genome	2022-11-07		1
GCF_947251975.1	ilHylFasc1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Hylaea fasciaria					26629		GCF_947251975.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_947251945.1	iyLasLatv2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Lasioglossum lativentre					26635		GCF_947251945.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964277465.1	iyNomRufp1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Nomada rufipes					9f871ea7-3d01-4e6d-b2d7-051a93085788		GCF_964277465.1-RS_2025_01_08	Complete Genome	2024-10-31		1
GCF_964277395.1	icAblLaev2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Ablattaria laevigata					9e481cc8-f961-4285-b662-1d938901819c		GCF_964277395.1-RS_2025_01_08	Complete Genome	2024-10-31		1
GCF_947251695.1	iyEctCont1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Ectemnius continuus					26612		GCF_947251695.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964027105.1	iyNomFerr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Nomada ferruginata					54681		GCF_964027105.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_947251675.1	idMerWest1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Merzomyia westermanni					26541		GCF_947251675.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964028585.1	ilXanDesi1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Xanthorhoe designata					54658		GCF_964028585.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964028275.1	ilAlcRepa2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Alcis repandata					54634		GCF_964028275.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_021378375.1	ASM2137837v1	Wolbachia endosymbiont of Drosophila innubila					11		GCF_021378375.1-RS_2025_01_08	Complete Genome	2022-01-06		1
GCF_947251665.1	iyTryClav1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Trypoxylon clavicerum					26578		GCF_947251665.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_947251505.1	ilThySylv1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Thymelicus sylvestris					26576		GCF_947251505.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964273365.1	iyMelHaem1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Melitta haemorrhoidalis					54680		GCF_964273365.1-RS_2025_01_08	Complete Genome	2024-10-31		1
GCF_032849005.1	ASM3284900v1	Wolbachia endosymbiont of Zaprionus tsacasi					car7-4		GCF_032849005.1-RS_2025_01_08	Complete Genome	2023-10-19		1
GCF_017869285.1	ASM1786928v1	Wolbachia endosymbiont of Wiebesia pumilae					MIAOwWpum		GCF_017869285.1-RS_2025_01_08	Complete Genome	2021-04-08		1
GCF_947250695.1	idEupLati1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Eupeodes latifasciatus					26625		GCF_947250695.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_947251515.1	idSicFerr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Sicus ferrugineus					26569		GCF_947251515.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_004795975.1	ASM479597v1	Wolbachia endosymbiont of Drosophila mauritiana		wMau					GCF_004795975.1-RS_2025_01_08	Complete Genome	2019-04-16		1
GCF_947250505.1	ilPhaBuce1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Phalera bucephala					26549		GCF_947250505.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_042928915.1	Wolbachia	Wolbachia endosymbiont of Liriomyza huidobrensis		wLhui					GCF_042928915.1-RS_2025_01_08	Complete Genome	2024-10-13		1
GCF_964277365.1	iyApoUnic1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Aporus unicolor					54670		GCF_964277365.1-RS_2025_01_08	Complete Genome	2024-10-31		1
GCF_947251655.1	ilPheTrem1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Pheosia tremula					26559		GCF_947251655.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_017896245.1	ASM1789624v1	Wolbachia endosymbiont of Aedes aegypti					GV_2018_4		GCF_017896245.1-RS_2025_01_08	Complete Genome	2021-04-10		1
GCF_964028545.1	ilAgrInqu1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Agriphila inquinatella					5e1ae63a-5394-42f7-8d7f-9797bcdf1039		GCF_964028545.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_947251495.1	ilPamFasc1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Pammene fasciana					26545		GCF_947251495.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_947250785.1	iyAncNigr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Ancistrocerus nigricornis					24841		GCF_947250785.1-RS_2025_01_08	Complete Genome	2022-11-02		1
GCF_964028495.1	ilCydAmpl1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Cydia amplana					54639		GCF_964028495.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964028455.1	ilAgrPuta1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Agrotis puta					54632		GCF_964028455.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964026725.1	idGerAngu1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Germaria angustata					efa2cf0d-cb6d-4fcc-b883-fe0ecf22e7f1		GCF_964026725.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964028205.1	ilXylAreo1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Xylocampa areola					54659		GCF_964028205.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964026765.1	iyChaSisp2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Chalcis sispes					54672		GCF_964026765.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964027115.1	idMyoTest1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Myopa testacea					54616		GCF_964027115.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964028485.1	iyParGnat1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Paraperithous gnathaulax					54692		GCF_964028485.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_000829315.1	ASM82931v1	Wolbachia endosymbiont of Cimex lectularius		wCle					GCF_000829315.1-RS_2025_01_08	Complete Genome	2014-06-10		1
GCF_032848195.1	ASM3284819v1	Wolbachia endosymbiont of Drosophila aff. chauvacae BK-2020					mont_up-71		GCF_032848195.1-RS_2025_01_08	Complete Genome	2023-10-19		1
GCF_964026745.1	ilCydStro3.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Cydia strobilella					54641		GCF_964026745.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_039540065.1	ASM3954006v1	Wolbachia endosymbiont of Encarsia formosa					wFor_SYAU		GCF_039540065.1-RS_2025_01_08	Complete Genome	2024-05-08		1
GCF_018491735.2	ASM1849173v2	Wolbachia endosymbiont of Anopheles demeilloni					wAnD		GCF_018491735.2-RS_2025_01_08	Complete Genome	2022-01-11		1
GCF_964263235.1	idLimTigr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Limnophora tigrina					42ab1650-08fc-4c19-a216-a18826b92d8a		GCF_964263235.1-RS_2025_01_08	Complete Genome	2024-09-15		1
GCF_904848675.1	Pt_Alt_01	Candidatus Profftia tarda					PROFFT		GCF_904848675.1-RS_2024_03_31	Complete Genome	2021-06-20		1
GCF_964028175.1	iyNomFuca1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Nomada fucata					54684		GCF_964028175.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_964026905.1	ilEnnEroa1.Wolbachia_sp_3.1	Wolbachia endosymbiont (group B) of Ennomos erosarius					54647		GCF_964026905.1-RS_2025_01_08	Complete Genome	2024-04-20		1
GCF_964028125.1	idPhaObes1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Phasia obesa					54622		GCF_964028125.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_020541265.1	ASM2054126v1	Candidatus Profftia lariciata					Ad13-081		GCF_020541265.1-RS_2024_03_31	Complete Genome	2021-10-21		1
GCF_012277315.1	ASM1227731v1	Wolbachia endosymbiont of Ctenocephalides felis wCfeJ					wCfeJ		GCF_012277315.1-RS_2025_01_08	Complete Genome	2020-04-14		1
GCF_947251475.1	ilEpiAlte1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Epirrhoe alternata					26618		GCF_947251475.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_024804185.1	ASM2480418v1	Wolbachia endosymbiont of Aedes albopictus					wAlbA-JF2017		GCF_024804185.1-RS_2025_01_08	Complete Genome	2022-08-31		3
GCF_964028565.1	iyTroLine1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Tromatobia lineatoria					54696		GCF_964028565.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_013342985.1	ASM1334298v1	Candidatus Ruthia endofausta					JDF_Ridge		GCF_013342985.1-RS_2024_04_08	Complete Genome	2020-06-15		1
GCF_964028115.1	iyAntPlum1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Anthophora plumipes					54669		GCF_964028115.1-RS_2025_01_08	Complete Genome	2024-06-28		1
GCF_947251485.1	iyScaNigr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Scambus nigricans					26568		GCF_947251485.1-RS_2025_01_08	Complete Genome	2022-11-04		1
GCF_964275155.1	icCurGlan1.Curculioniphilus_sp_1.1	Candidatus Curculioniphilus buchneri endosymbiont of Curculio glandium					6e1ca57e-09da-49ce-bd0a-402a6b7c547f		GCF_964275155.1-RS_2024_10_30	Complete Genome	2024-10-31		1
GCF_900698925.1	ErCicurvipes_v1.0	Candidatus Erwinia haradaeae		ErCicurvipes			3402		GCF_900698925.1-RS_2024_12_13	Complete Genome	2019-02-28		2
GCF_012030695.1	ASM1203069v1	Wolbachia endosymbiont of Brugia pahangi					FR3		GCF_012030695.1-RS_2025_01_08	Complete Genome	2020-04-05		1
GCF_000010405.1	ASM1040v1	Candidatus Vesicomyosocius okutanii		HA					GCF_000010405.1-RS_2024_06_16	Complete Genome	2007-05-08		1
GCF_018107685.1	ASM1810768v1	Coxiella endosymbiont of Amblyomma nuttalli					Craf2019		GCF_018107685.1-RS_2024_08_13	Complete Genome	2021-04-20		1
GCF_900048035.1	GEFVIR	Candidatus Gullanella endobia					GEFVIR		GCF_900048035.1-RS_2024_12_13	Complete Genome	2016-03-28		1
GCF_964026495.1	idOrnChlo1.Arsenophonus_sp_1.1	Arsenophonus symbiont of Ornithomya chloropus					4a44dec7-1428-4e8e-a2ca-597ecf37f33b		GCF_964026495.1-RS_2024_06_05	Complete Genome	2024-06-05		1
GCF_013365455.1	ASM1336545v1	Wolbachia endosymbiont of Dirofilaria (Dirofilaria) immitis		FR3					GCF_013365455.1-RS_2025_01_08	Complete Genome	2020-06-22		1
GCF_907164955.1	CLEDm	Coxiella endosymbiont of Dermacentor marginatus					CLEDm		GCF_907164955.1-RS_2024_11_26	Complete Genome	2022-10-28		1
GCF_013365475.1	ASM1336547v1	Wolbachia endosymbiont of Cruorifilaria tuberocauda		55YT					GCF_013365475.1-RS_2025_01_08	Complete Genome	2020-06-22		1
GCF_013365495.1	ASM1336549v1	Wolbachia endosymbiont of Dipetalonema caudispina		362YU					GCF_013365495.1-RS_2025_01_08	Complete Genome	2020-06-22		1
GCF_964277425.1	idLipCerv2.Arsenophonus_sp_1.1	Arsenophonus endosymbiont of Lipoptena cervi					a36fb20a-5ce7-4c9d-928d-b37a4c93de54		GCF_964277425.1-RS_2024_10_30	Complete Genome	2024-10-31		1
GCF_001534665.1	ASM153466v1	Candidatus Arsenophonus lipoptenae		CB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-01-25		1
GCF_900039485.1	DEMHIR	Candidatus Doolittlea endobia					DEMHIR		GCF_900039485.1-RS_2024_12_13	Complete Genome	2016-03-28		2
GCF_023585725.1	ASM2358572v1	Candidatus Blochmanniella camponoti		C-050					GCF_023585725.1-RS_2024_03_17	Complete Genome	2022-05-30		1
GCF_023585785.1	ASM2358578v1	Blochmannia endosymbiont of Camponotus modoc		C-002					GCF_023585785.1-RS_2024_03_17	Complete Genome	2022-05-30		1
GCF_023585765.1	ASM2358576v1	Blochmannia endosymbiont of Camponotus sp.		C-016					GCF_023585765.1-RS_2024_03_17	Complete Genome	2022-05-30		1
GCF_009827135.1	ASM982713v1	Blochmannia endosymbiont of Camponotus nipponensis					CNIEBac		GCF_009827135.1-RS_2024_03_17	Complete Genome	2020-01-02		1
GCF_023585685.1	ASM2358568v1	Blochmannia endosymbiont of Camponotus sp. C-003		C-003					GCF_023585685.1-RS_2024_03_17	Complete Genome	2022-05-30		1
GCF_023585865.1	ASM2358586v1	Blochmannia endosymbiont of Camponotus sp. C-046		C-046					GCF_023585865.1-RS_2024_03_17	Complete Genome	2022-05-30		1
GCF_023586525.1	ASM2358652v1	Candidatus Blochmannia vicinus		C-005					GCF_023586525.1-RS_2024_03_17	Complete Genome	2022-05-30		1
GCF_000973545.1	ASM97354v1	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus		757					GCF_000973545.1-RS_2024_03_17	Complete Genome	2015-04-20		1
GCF_964026685.1	PrHaacuecueyetzin_TABTEA_v1.0	Candidatus Providencia siddallii		acuecueyetzin-TABTEA					GCF_964026685.1-RS_2024_06_02	Complete Genome	2024-04-20		1
GCF_000973505.1	ASM97350v1	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri		675					GCF_000973505.1-RS_2024_03_17	Complete Genome	2015-04-20		1
GCF_023585745.1	ASM2358574v1	Candidatus Blochmannia ocreatus		C-006					GCF_023585745.1-RS_2024_03_17	Complete Genome	2022-05-30		1
GCF_014857065.1	ASM1485706v1	Blochmannia endosymbiont of Colobopsis nipponica					CNIPBac		GCF_014857065.1-RS_2024_03_17	Complete Genome	2020-10-06		1
GCF_000828815.1	ASM82881v1	Candidatus Tachikawaea gelatinosa		UwTKB					GCF_000828815.1-RS_2024_12_13	Complete Genome	2014-09-19		1
GCF_900343015.1	ARADv1	Arsenophonus endosymbiont of Aleurodicus dispersus		ARAD					GCF_900343015.1-RS_2024_08_12	Complete Genome	2018-10-04		1
GCF_002850495.1	ASM285049v1	Coxiella-like endosymbiont of Amblyomma americanum					CLE-AaGA		GCF_002850495.1-RS_2024_12_09	Complete Genome	2018-01-03		1
GCF_000815025.1	ASM81502v1	Coxiella endosymbiont of Amblyomma americanum					C904		GCF_000815025.1-RS_2024_08_11	Complete Genome	2015-01-06		1
GCF_900044015.1	HETPER1	Candidatus Hoaglandella endobia					HETPER		GCF_900044015.1-RS_2024_12_13	Complete Genome	2016-03-28		3
GCF_009883795.1	ASM988379v1	Coxiella endosymbiont of Amblyomma sculptum		CeAS-UFV					GCF_009883795.1-RS_2024_08_12	Complete Genome	2020-01-15		1
GCF_025021925.1	ASM2502192v1	Wolbachia endosymbiont of Howardula sp.					HA_SPA		GCF_025021925.1-RS_2025_01_08	Complete Genome	2022-09-07		1
GCF_001242845.1	Wobs_v01	Candidatus Westeberhardia cardiocondylae		obscurior			BR-alpha		GCF_001242845.1-RS_2024_03_31	Complete Genome	2015-07-21		1
GCF_002776555.1	ASM277655v1	Candidatus Legionella polyplacis		PsAG					GCF_002776555.1-RS_2024_11_26	Complete Genome	2017-11-16		1
GCF_012562765.1	ASM1256276v1	Enterobacteriaceae endosymbiont of Plateumaris pusilla					PpusSym		GCF_012562765.1-RS_2024_05_05	Complete Genome	2020-04-20		2
GCF_003391335.1	ASM339133v1	Candidatus Purcelliella pentastirinorum		OLIH					GCF_003391335.1-RS_2024_12_13	Complete Genome	2018-08-15		1
GCF_012571345.1	ASM1257134v1	Enterobacteriaceae endosymbiont of Macroplea mutica					MmutSym		GCF_012571345.1-RS_2024_05_05	Complete Genome	2020-04-20		2
GCF_964059955.1	SoDrplatanoidis-3702_v1.0	Sodalis-like secondary symbiont of Drepanosiphum platanoidis		Drplatanoidis-3702					GCF_964059955.1-RS_2024_07_23	Complete Genome	2024-07-24		2
GCF_900048045.1	MEPMAR	Candidatus Mikella endobia					MEPMAR		GCF_900048045.1-RS_2024_12_13	Complete Genome	2016-03-28		1
GCF_900090215.1	TRABTM	secondary endosymbiont of Trabutina mannipara					TRABTM		GCF_900090215.1-RS_2024_12_11	Complete Genome	2016-07-16		1
GCF_902860225.1	Azoamicus ciliaticola assembly	Candidatus Azoamicus ciliaticola					1		GCF_902860225.1-RS_2024_12_11	Complete Genome	2020-06-28		1
GCF_004296475.1	ASM429647v1	endosymbiont of Sipalinus gigas					NARSGI1		GCF_004296475.1-RS_2024_03_31	Complete Genome	2017-10-21		2
GCF_004296515.1	ASM429651v1	endosymbiont of Pachyrhynchus infernalis					NARPIN1		GCF_004296515.1-RS_2024_03_31	Complete Genome	2017-10-21		1
GCF_004296535.1	ASM429653v1	endosymbiont of Euscepes postfasciatus					NAREPO1		GCF_004296535.1-RS_2024_12_13	Complete Genome	2017-10-21		1
GCF_900215245.1	IMG-taxon 2617270901 annotated assembly	Pseudomonas fluorescens		ATCC 13525					GCF_900215245.1-RS_2024_12_13	Chromosome	2017-09-06		1
GCF_019933175.1	ASM1993317v1	Edwardsiella tarda		FDAARGOS_1473					GCF_019933175.1-RS_2024_11_06	Chromosome	2021-09-13		3
GCF_000661955.1	ASM66195v1	Stenotrophomonas rhizophila		DSM 14405					GCF_000661955.1-RS_2024_05_12	Chromosome	2014-05-01		1
GCF_000252955.1	ASM25295v1	Xenorhabdus nematophila ATCC 19061		ATCC 19061					GCF_000252955.1-RS_2024_03_28	Chromosome	2010-06-07		2
GCF_000241955.1	ASM24195v1	Rahnella aquatilis CIP 78.65 = ATCC 33071		CIP 78.65					GCF_000241955.1-RS_2024_03_27	Chromosome	2012-01-10		4
GCF_900103345.1	IMG-taxon 2636416017 annotated assembly	Pseudomonas azotoformans		LMG 21611					GCF_900103345.1-RS_2024_12_11	Chromosome	2016-10-20		1
GCF_900106065.1	IMG-taxon 2636416004 annotated assembly	Pseudomonas mandelii		LMG 21607					GCF_900106065.1-RS_2024_12_11	Chromosome	2016-10-21		1
GCF_900108595.1	IMG-taxon 2667527230 annotated assembly	Pseudomonas fuscovaginae		LMG 2158					GCF_900108595.1-RS_2024_12_13	Chromosome	2016-10-27		1
GCF_900102035.1	IMG-taxon 2667527225 annotated assembly	Pseudomonas extremaustralis		DSM 17835					GCF_900102035.1-RS_2024_12_11	Chromosome	2016-10-20		1
GCF_900105735.1	IMG-taxon 2667528168 annotated assembly	Pseudomonas yamanorum		LMG 27247					GCF_900105735.1-RS_2024_12_11	Chromosome	2016-10-21		1
GCF_900106005.1	IMG-taxon 2675902957 annotated assembly	Pseudomonas mediterranea		DSM 16733					GCF_900106005.1-RS_2024_12_11	Chromosome	2016-10-21		1
GCF_900239935.1	PCAR91_V1	Pseudoalteromonas carrageenovora IAM 12662		ATCC43555T					GCF_900239935.1-RS_2024_12_13	Chromosome	2018-01-23		3
GCF_900105155.1	IMG-taxon 2663762789 annotated assembly	Pseudomonas prosekii		LMG 26867					GCF_900105155.1-RS_2024_12_11	Chromosome	2016-10-21		1
GCF_003033885.1	ASM303388v1	Pseudomonas rhizophila		S211					GCF_003033885.1-RS_2024_03_28	Chromosome	2018-04-04		1
GCF_002849855.1	ASM284985v1	Vibrio azureus		LC2-005					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2018-01-03		4
GCF_900105475.1	IMG-taxon 2667527430 annotated assembly	Pseudomonas asplenii		ATCC 23835					GCF_900105475.1-RS_2024_12_11	Chromosome	2016-10-21		1
GCF_900103875.1	IMG-taxon 2636416065 annotated assembly	Pseudomonas arsenicoxydans		CECT 7543					GCF_900103875.1-RS_2024_12_11	Chromosome	2016-10-20		1
GCF_900105485.1	IMG-taxon 2667527397 annotated assembly	Pseudomonas granadensis		LMG 27940					GCF_900105485.1-RS_2024_12_11	Chromosome	2016-10-21		1
GCF_003600645.1	ASM360064v1	Yersinia rochesterensis		ATCC BAA-2637					GCF_003600645.1-RS_2024_04_27	Chromosome	2018-09-27		3
GCF_001656035.1	ASM165603v1	Yersinia entomophaga		MH96					GCF_001656035.1-RS_2024_03_28	Chromosome	2016-06-03		1
GCF_009728735.1	ASM972873v1	Pantoea phytobeneficialis		MSR2					GCF_009728735.1-RS_2024_07_22	Chromosome	2019-12-04		5
GCF_900106015.1	IMG-taxon 2667527235 annotated assembly	Pseudomonas sihuiensis		KCTC 32246					GCF_900106015.1-RS_2024_12_11	Chromosome	2016-10-21		1
GCF_007556775.1	ASM755677v1	Pseudoluteimonas lycopersici		CC-Bw-6					GCF_007556775.1-RS_2024_12_01	Chromosome	2019-07-27		1
GCF_001583435.1	ASM158343v1	Endozoicomonas montiporae CL-33		CL-33					GCF_001583435.1-RS_2024_03_28	Chromosome	2016-03-08		1
GCF_025398735.1	ASM2539873v1	Tahibacter amnicola		W38					GCF_025398735.1-RS_2024_05_06	Chromosome	2022-09-25		1
GCF_014109765.1	ASM1410976v1	Pseudomonas berkeleyensis		MSPm1					GCF_014109765.1-RS_2024_12_09	Chromosome	2020-08-07		1
GCF_026410085.1	ASM2641008v1	Pseudomonas quebecensis					S1Bt42		GCF_026410085.1-RS_2024_06_24	Chromosome	2022-11-26		1
GCF_003855155.1	ASM385515v1	Shewanella psychromarinicola		M2					GCF_003855155.1-RS_2024_12_09	Chromosome	2018-12-02		1
GCF_900104805.1	IMG-taxon 2667527434 annotated assembly	Pseudomonas oryzae		KCTC 32247					GCF_900104805.1-RS_2024_12_11	Chromosome	2016-10-20		1
GCF_031834595.1	ASM3183459v1	Stenotrophomonas oahuensis		A5586					GCF_031834595.1-RS_2024_05_06	Chromosome	2023-09-22		2
GCF_031834615.1	ASM3183461v1	Stenotrophomonas aracearum		A5588					GCF_031834615.1-RS_2024_05_06	Chromosome	2023-09-22		1
GCF_900105255.1	IMG-taxon 2675902958 annotated assembly	Halopseudomonas sabulinigri		JCM 14963					GCF_900105255.1-RS_2024_12_11	Chromosome	2016-10-21		1
GCF_021233355.1	ASM2123335v1	Luteimonas fraxinea		D4P002					GCF_021233355.1-RS_2024_05_06	Chromosome	2021-12-20		1
GCF_900105005.1	IMG-taxon 2667527220 annotated assembly	Halopseudomonas litoralis		2SM5					GCF_900105005.1-RS_2024_12_11	Chromosome	2016-10-20		1
GCF_900105655.1	IMG-taxon 2667527386 annotated assembly	Halopseudomonas salegens		CECT 8338					GCF_900105655.1-RS_2024_12_11	Chromosome	2016-10-21		1
GCF_900105995.1	IMG-taxon 2667527387 annotated assembly	Pseudomonas pohangensis		DSM 17875					GCF_900105995.1-RS_2024_12_11	Chromosome	2016-10-21		1
GCF_900104945.1	IMG-taxon 2667527388 annotated assembly	Halopseudomonas xinjiangensis		NRRL B-51270					GCF_900104945.1-RS_2024_12_11	Chromosome	2016-10-20		1
GCF_019355975.1	ASM1935597v1	Acinetobacter septicus		FDAARGOS_1401					GCF_019355975.1-RS_2024_12_09	Chromosome	2021-07-27		2
GCF_900142895.1	IMG-taxon 2698536942 annotated assembly	Vreelandella subglaciescola		ACAM 12					GCF_900142895.1-RS_2024_04_07	Chromosome	2016-12-02		1
